datetime_utc,open,high,low,close,volume,quote_volume,trades,taker_buy_base,taker_buy_quote,date_utc,funding_rate_day_sum,funding_points_in_day
2023-03-19 00:00:00+00:00,1758.52,1841.96,1757.8,1779.99,4626069.971,8310885359.15003,3339465,2326380.05,4179667300.04792,2023-03-19,0.00030000000000000003,3
2023-03-20 00:00:00+00:00,1779.98,1803.37,1722.1,1731.71,5373050.445,9477798166.4006,3921342,2631535.926,4642703408.4311,2023-03-20,0.00028194,3
2023-03-21 00:00:00+00:00,1731.71,1836.0,1716.0,1800.14,5619744.412,10019890870.83099,4147413,2850791.044,5084624794.77109,2023-03-21,0.00020707,3
2023-03-22 00:00:00+00:00,1800.13,1819.4,1709.0,1733.61,6034436.316,10708921360.87074,4700861,2917610.677,5179083502.61749,2023-03-22,0.00011952999999999999,3
2023-03-23 00:00:00+00:00,1733.61,1860.0,1728.5,1813.27,5198586.173,9324634529.86897,3888063,2659256.855,4770327501.35848,2023-03-23,0.00017983000000000002,3
2023-03-24 00:00:00+00:00,1813.26,1818.17,1720.0,1748.77,4912493.752,8679521189.99405,4244423,2383431.683,4211262819.97184,2023-03-24,0.00030000000000000003,3
2023-03-25 00:00:00+00:00,1748.77,1763.7,1712.02,1741.02,2338463.552,4073640165.89135,2328183,1136142.059,1979589840.69401,2023-03-25,2.6569999999999998e-05,3
2023-03-26 00:00:00+00:00,1741.02,1800.0,1738.29,1772.63,2889759.744,5109438055.6122,2541762,1473365.71,2605395297.03452,2023-03-26,6.209e-05,3
2023-03-27 00:00:00+00:00,1772.63,1779.79,1684.0,1714.35,4306582.468,7455510896.43108,3461394,2079057.214,3599986897.38512,2023-03-27,1.079e-05,3
2023-03-28 00:00:00+00:00,1714.34,1797.19,1700.55,1772.09,4167114.123,7259377635.49757,3058865,2167891.129,3777447114.62036,2023-03-28,8.573e-05,3
2023-03-29 00:00:00+00:00,1772.11,1828.58,1771.66,1791.89,3725356.756,6711651489.12707,2756300,1881124.519,3389610060.81713,2023-03-29,0.00027584,3
2023-03-30 00:00:00+00:00,1791.89,1829.88,1760.84,1792.77,4163974.718,7462948646.57345,2942201,2041834.179,3660324786.24005,2023-03-30,0.00011067,3
2023-03-31 00:00:00+00:00,1792.76,1848.0,1777.0,1820.81,3958210.583,7182992018.54653,2809931,2034712.491,3693563971.25167,2023-03-31,0.00024185,3
2023-04-01 00:00:00+00:00,1820.81,1842.8,1805.5,1819.82,1675351.82,3052725254.36357,1422524,835279.442,1522231190.326,2023-04-01,0.00026306,3
2023-04-02 00:00:00+00:00,1819.83,1824.6,1770.0,1793.56,2192606.026,3949711148.25586,1750101,1043180.289,1879510786.96302,2023-04-02,0.00012508000000000002,3
2023-04-03 00:00:00+00:00,1793.55,1840.0,1761.25,1809.68,4518659.82,8135938230.19109,3246221,2255875.313,4063284779.94112,2023-04-03,-5.3689999999999996e-05,3
2023-04-04 00:00:00+00:00,1809.68,1895.0,1800.69,1869.11,4275707.73,7917928013.22222,3189265,2231992.447,4133887675.20377,2023-04-04,0.00019598,3
2023-04-05 00:00:00+00:00,1869.11,1945.0,1863.69,1907.48,4197070.072,8002757302.09807,3188196,2146330.904,4093193790.17143,2023-04-05,0.00026853,3
2023-04-06 00:00:00+00:00,1907.49,1908.84,1851.6,1871.33,3037614.773,5695615572.83125,2416120,1448023.679,2715334786.05008,2023-04-06,0.00011478999999999999,3
2023-04-07 00:00:00+00:00,1871.34,1881.94,1840.0,1862.87,2094298.392,3892274987.5975,1776477,1011379.48,1879944393.94206,2023-04-07,0.00012819,3
2023-04-08 00:00:00+00:00,1862.88,1878.81,1846.0,1848.02,1433874.915,2670491237.61519,1249077,686239.184,1278241952.68377,2023-04-08,6.981e-05,3
2023-04-09 00:00:00+00:00,1848.01,1873.7,1820.31,1857.84,2391096.749,4411928549.86057,1897984,1185492.119,2187910852.63471,2023-04-09,1.98e-05,3
2023-04-10 00:00:00+00:00,1857.84,1919.12,1845.04,1908.9,3082285.12,5789773602.66807,2215569,1579049.68,2966692085.42422,2023-04-10,4.520000000000001e-06,3
2023-04-11 00:00:00+00:00,1908.91,1938.0,1880.67,1888.89,3135834.566,5992414574.57517,2319270,1544377.765,2952116703.61944,2023-04-11,0.00018012,3
2023-04-12 00:00:00+00:00,1888.89,1933.0,1850.38,1916.86,5177985.751,9820582527.1319,3524224,2638375.517,5006249274.38149,2023-04-12,5.955e-05,3
2023-04-13 00:00:00+00:00,1916.86,2025.0,1898.01,2011.8,5944851.519,11737826015.50057,4063215,3111310.227,6143156391.23556,2023-04-13,0.00030000000000000003,3
2023-04-14 00:00:00+00:00,2011.8,2137.64,2009.0,2099.77,6908499.4,14466877844.1142,5000626,3525254.142,7382010465.93851,2023-04-14,0.00030000000000000003,3
2023-04-15 00:00:00+00:00,2099.77,2113.28,2071.0,2091.2,2619968.921,5490344951.01392,2390559,1297209.204,2718870870.96257,2023-04-15,0.00030000000000000003,3
2023-04-16 00:00:00+00:00,2091.2,2146.1,2072.4,2118.09,2905235.978,6115423203.35783,2641132,1460801.343,3075580920.80018,2023-04-16,0.00030000000000000003,3
