datetime_utc,open,high,low,close,volume,quote_volume,trades,taker_buy_base,taker_buy_quote,ret_1d,logret_1d,range,true_range,atr_14,vol_30
2025-04-19 00:00:00+00:00,1588.6,1631.81,1585.01,1613.27,223096.3899,358254845.712294,1762563,119856.3027,192451022.067047,0.015529396953292363,0.015410049874644116,0.029459901800327305,46.799999999999955,133.07357142857146,0.8727952355287364
2025-04-20 00:00:00+00:00,1613.26,1619.19,1565.59,1587.36,276052.2306,438377495.975152,1913811,138393.3947,219774032.482756,-0.01606054783142319,-0.016190916172083014,0.03322444476126137,53.600000000000136,116.93785714285718,0.873458760110635
2025-04-21 00:00:00+00:00,1587.36,1658.75,1564.07,1579.57,691486.6667,1117358203.868595,4257816,349723.7779,565324291.159292,-0.0049075194032859315,-0.00491960081936238,0.05964620501965532,94.68000000000006,107.41571428571433,0.8720805240085671
2025-04-22 00:00:00+00:00,1579.57,1778.0,1537.26,1756.26,1103036.9586,1833852783.080129,3841594,570956.5969,949980453.538352,0.11185955671480219,0.10603388993379337,0.152408566888457,240.74,111.9421428571429,0.9633576550127355
2025-04-23 00:00:00+00:00,1756.25,1834.86,1744.95,1795.07,887545.6316,1590311895.515477,3346263,465865.2367,834633411.499644,0.022098094815118374,0.02185747036046859,0.0511940145536537,89.90999999999985,96.65357142857145,0.9566462571449043
2025-04-24 00:00:00+00:00,1795.08,1802.82,1722.9,1769.65,483465.0385,851507192.04646,2225460,228156.9812,401904077.51987696,-0.014161007648726742,-0.01426223147476513,0.04452194064855401,79.91999999999985,88.16000000000001,0.9572721402100559
2025-04-25 00:00:00+00:00,1769.64,1827.32,1738.6,1784.6,595610.8894,1063192910.339053,2516748,310119.5698,553732398.650821,0.008447998191732697,0.008412513564324264,0.050134207329132895,88.72000000000003,88.29428571428573,0.9543762265111343
2025-04-26 00:00:00+00:00,1784.6,1841.16,1778.94,1820.88,355068.0442,640645562.865216,1907298,184308.0796,332672166.455174,0.02032948559901393,0.020125600231877705,0.03486495573237702,62.22000000000003,83.91500000000003,0.9577633744957443
2025-04-27 00:00:00+00:00,1820.87,1857.47,1781.9,1791.29,340332.6435,616122293.308254,2405764,164744.7128,298455924.453593,-0.01625038442950666,-0.016383870030276526,0.04150191116383283,75.56999999999994,83.04571428571431,0.9413644229570346
2025-04-28 00:00:00+00:00,1791.29,1827.98,1744.71,1799.88,587269.743,1049690759.152374,2980656,282424.4021,504906960.405928,0.004795426759486299,0.0047839653276158245,0.04648605195138698,83.26999999999998,82.14071428571431,0.9327094893312642
2025-04-29 00:00:00+00:00,1799.88,1842.99,1780.47,1797.81,480456.3884,871685371.749142,2590967,247137.1213,448518545.9332711,-0.001150076671778244,-0.0011507385174507334,0.03473564904326954,62.51999999999998,81.02857142857144,0.9317755781407735
2025-04-30 00:00:00+00:00,1797.81,1816.8,1731.7,1793.61,473523.9877,843558998.326332,2468998,224863.7757,400751136.05107903,-0.0023361756804112233,-0.002338908796338579,0.04733536914356907,85.09999999999991,81.70785714285714,0.9314776779545774
2025-05-01 00:00:00+00:00,1793.62,1873.17,1792.52,1838.11,537198.7291,988206595.824892,2398765,284534.1382,523485516.25783294,0.02481029878290153,0.024507521103854124,0.04496518195148337,80.65000000000009,83.62857142857142,0.9217992961443093
2025-05-02 00:00:00+00:00,1838.1,1871.0,1813.0,1842.2,410667.875,755324594.318921,2062923,214203.7089,394103918.03934497,0.002225111663611168,0.002222639768802104,0.03155415073091382,58.0,85.83571428571427,0.8981067939998736
2025-05-03 00:00:00+00:00,1842.2,1848.6,1810.0,1833.52,213751.5979,391267436.33205694,1135719,102337.2203,187310371.211181,-0.0047117576810336015,-0.004722893002983675,0.02095320812072517,38.59999999999991,85.24999999999999,0.8975994926049626
2025-05-04 00:00:00+00:00,1833.52,1849.95,1803.0,1808.86,238254.3564,435999576.565349,1443996,115191.4115,210878994.455424,-0.013449539683232259,-0.01354080397434032,0.02560648370347749,46.950000000000045,84.77499999999998,0.8990777378784008
2025-05-05 00:00:00+00:00,1808.86,1833.55,1781.85,1820.19,342341.0078,619310042.705,1961255,174628.629,315946281.030022,0.0062636135466538345,0.006244078649583429,0.0285815375429829,51.700000000000045,81.70499999999997,0.8989100786580184
2025-05-06 00:00:00+00:00,1820.19,1820.9,1752.0,1817.0,384584.2451,687049952.313885,2333041,187697.5461,335412217.286639,-0.0017525642927387342,-0.001754101830223398,0.03785319115037446,68.90000000000009,69.43071428571427,0.7757859221580354
2025-05-07 00:00:00+00:00,1817.0,1850.0,1787.01,1811.11,456170.0705,831394497.734043,2408512,237181.4755,432215626.27634495,-0.003241607044578987,-0.0032468724346577105,0.03466703357182169,62.99000000000001,67.50785714285713,0.7720544987295632
2025-05-08 00:00:00+00:00,1811.11,2226.0,1808.71,2207.39,1473152.686,2976074419.3235407,5616063,774940.4643,1564609175.673035,0.2188050422116823,0.1978709051504639,0.23040566282556002,417.28999999999996,91.60571428571428,1.0463421620995874
2025-05-09 00:00:00+00:00,2207.39,2490.77,2184.33,2345.04,1667041.0382,3881949928.351723,6885286,816968.732,1901989668.6770115,0.06235871323146336,0.06049163719221973,0.1388245846905169,306.44000000000005,107.15714285714286,0.9722471448904287
2025-05-10 00:00:00+00:00,2345.04,2600.0,2317.0,2583.23,979350.1606,2393510879.665205,4862978,508011.2632,1242333639.703975,0.1015718281990925,0.09673809457506444,0.12068024426022585,283.0,122.92714285714285,0.9498146989382311
