datetime_utc,open,high,low,close,volume,quote_volume,trades,taker_buy_base,taker_buy_quote,ret_1d,logret_1d,range,true_range,atr_14,vol_30
2020-12-04 00:00:00+00:00,19422.34,19527.0,18565.31,18650.52,71283.6682,1358079975.025498,1286657,32363.453715,616745259.3145112,-0.03971702047688441,-0.04052726761991643,0.04951575283571631,961.6899999999987,1201.5328571428565,0.7527182478714682
2020-12-05 00:00:00+00:00,18650.51,19177.0,18500.0,19147.66,42922.748573,813445434.1308142,932124,21360.260281,405002656.06997126,0.026655557056854073,0.026306487210307594,0.03629925599929654,677.0,1202.9385714285709,0.678687189761493
2020-12-06 00:00:00+00:00,19147.66,19420.0,18857.0,19359.4,37043.091861,709558933.5829058,820382,19009.407663,364303500.9570982,0.011058270305614348,0.010997574683671019,0.02940307066242037,563.0,1161.7857142857138,0.6781494247867036
2020-12-07 00:00:00+00:00,19358.67,19420.91,18902.88,19166.9,41372.296293,793517668.6839459,840954,18881.806014,362249650.0534163,-0.009943489984193699,-0.009993256658502148,0.026758577228633056,518.0299999999988,1144.0735714285709,0.6501511622753774
2020-12-08 00:00:00+00:00,19166.9,19294.84,18200.0,18324.11,61626.947614,1160658077.404659,1143181,27811.37851,524064471.55038375,-0.04397111687335986,-0.04496715391155881,0.0571213915656679,1094.8400000000001,1122.2071428571421,0.66289166906858
2020-12-09 00:00:00+00:00,18324.11,18639.57,17650.0,18541.28,79585.553801,1450130664.0645845,1302476,36809.009287,671042442.4745308,0.01185159879524833,0.011781918605684893,0.05400371423223282,989.5699999999997,1122.609285714285,0.6607007783341506
2020-12-10 00:00:00+00:00,18541.29,18557.32,17911.12,18254.63,52890.675094,966149529.000607,891151,25604.608069,467840780.52674687,-0.015460097684733665,-0.015580851185681865,0.03485196275553795,646.2000000000007,973.978571428571,0.6646443441170309
2020-12-11 00:00:00+00:00,18254.81,18292.73,17572.33,18036.53,72610.724259,1301081647.3079,1117810,34194.988471,612882050.9167273,-0.011947653828097482,-0.012019600682396714,0.03946396064998292,720.3999999999978,952.6114285714282,0.664078110102036
2020-12-12 00:00:00+00:00,18036.53,18948.66,18020.7,18808.69,49519.978432,915552835.9061832,891810,26056.332648,481756117.716001,0.04281089544385752,0.041919851281026155,0.05144892060723427,927.9599999999991,946.3992857142852,0.666807482158574
2020-12-13 00:00:00+00:00,18808.69,19411.0,18711.12,19174.99,56560.821744,1083520569.094854,938022,29593.4651,566907850.6233119,0.019475040526480303,0.019287828659587447,0.037210459633286584,699.880000000001,936.1728571428567,0.6684558395497737
2020-12-14 00:00:00+00:00,19174.99,19349.0,19000.0,19273.14,47257.201294,906101687.739595,842382,22657.463401,434506325.32761055,0.005118646737234167,0.0051055909978821035,0.018200791760517213,349.0,841.2321428571425,0.6640407712373826
2020-12-15 00:00:00+00:00,19273.69,19570.0,19050.0,19426.43,61834.366011,1196361527.9258018,1046423,31194.160849,603826364.4139218,0.007953556088940328,0.00792209327908644,0.026980554284356365,520.0,743.5978571428568,0.6621988146996788
2020-12-16 00:00:00+00:00,19426.43,21560.0,19278.6,21335.52,114306.33557,2325135958.641841,1659135,61245.262375,1245917122.172021,0.098272816981813,0.09373877942102915,0.11743794407927763,2281.4000000000015,834.2692857142855,0.7221577494776855
2020-12-17 00:00:00+00:00,21335.52,23800.0,21230.0,22797.16,184882.476748,4196645567.4258766,2795084,92409.405079,2097021808.6295657,0.06850735299631783,0.06626267735967417,0.12045640321867009,2570.0,965.6407142857141,0.7331848403591316
2020-12-18 00:00:00+00:00,22797.15,23285.18,22350.0,23107.39,79646.134315,1820875361.2945976,1613775,38359.302158,877296889.5114686,0.013608274013078736,0.013516512987804319,0.04102177639670908,935.1800000000003,963.7471428571428,0.7332736004218345
2020-12-19 00:00:00+00:00,23107.39,24171.47,22750.0,23821.61,86045.064677,2018969878.8868675,1678611,42709.111498,1002105538.8592924,0.030908726602182357,0.030440672117045153,0.061515818099750826,1421.4700000000012,1016.9235714285714,0.7364105235879618
2020-12-20 00:00:00+00:00,23821.6,24295.0,23060.0,23455.52,76690.145685,1810862074.730308,1743225,37124.115358,877166936.6057343,-0.015367978906547508,-0.015487290255670416,0.051843683109579916,1235.0,1064.9235714285714,0.7289587357811275
2020-12-21 00:00:00+00:00,23455.54,24102.77,21815.0,22719.71,88030.297243,2035446293.9289708,1593949,41983.046103,971417184.6896445,-0.03137044073207507,-0.03187303196066793,0.0975365287147759,2287.7700000000004,1191.3335714285715,0.7418508652607827
